 Nave, G., Johansson, S., Learner, R.C.M., Thorne, A.P., Brault, J.W. 1994.
  ApJSupp 94, 221-459.
 Schoenfeld, W.G., Chang, E.S., Geller, M., Johansson, S., Nave, G.,
  Sauval, A.J., and Grevesse, N. 1995. A&A, 301, 593-601.
   4.0  60754.71 ?    d6(1D)4s4p(1P) 3F   1Dsp1P 3F    not in Nave
   3.0     53773.590             d6(3D)4s4p(3P)4p 5F      3Dsp3P 5F  typo 
       in Sugar and Corliss 53733.583

   2.0  @  33946.931     1.493   d6(5D)4s4p(3P) z3P       5Dsp3P z3P
   1.0  @  34017.101     1.492   d7(4F)4p y5D             (4F)4p y5D
   4.0  @  34039.514     1.344   d7(4F)4p y5F             (4F)4p y5F
   0.0  @  34121.601             d7(4F)4p y5D             (4F)4p y5D
   3.0  @  34328.750     1.244   d7(4F)4p y5F             (4F)4p y5F
   1.0  @  34362.871     1.496   d6(5D)4s4p(3P) z3P       5Dsp3P z3P
   2.0  @  34547.209     0.998   d7(4F)4p y5F             (4F)4p y5F
   0.0  @  34555.595             d6(5D)4s4p(3P) z3P       5Dsp3P z3P
   2.0     34636.790             3d6 4s2 b1D              4s2 b1D
   1.0  @  34692.146    -0.016   d7(4F)4p y5F             (4F)4p y5F
   5.0  @  34782.419     1.218   d7(4F)4p z5G             (4F)4p z5G
   6.0  @  34843.955     1.332   d7(4F)4p z5G             (4F)4p z5G
   4.0  @  35257.322     1.103   d7(4F)4p z5G             (4F)4p z5G
   5.0  @  35379.206     1.248   d7(4F)4p z3G             (4F)4p z3G
   3.0  @  35611.623     0.887   d7(4F)4p z5G             (4F)4p z5G
   4.0  @  35767.562     1.100   d7(4F)4p z3G             (4F)4p z3G
   2.0  @  35856.400     0.335   d7(4F)4p z5G             (4F)4p z5G
   3.0  @  36079.370     0.791   d7(4F)4p z3G             (4F)4p z3G
   4.0  @  36686.174     1.246   d7(4F)4p y3F             (4F)4p y3F
   3.0  @  36766.964     1.661   d6(5D)4s4p(1P) y5P       5Dsp1P y5P
   2.0     36940.588             3d7(2F)4s d3F            (2F)4s d3F
   3.0     36975.586             3d7(2F)4s d3F            (2F)4s d3F
   4.0     37045.932             3d7(2F)4s d3F            (2F)4s d3F
   2.0  @  37157.564     1.836   d6(5D)4s4p(1P) y5P       5Dsp1P y5P
   3.0  @  37162.744     1.086   d7(4F)4p y3F             (4F)4p y3F
   1.0  @  37409.552     2.502   d6(5D)4s4p(1P) y5P       5Dsp1P y5P
   2.0  @  37521.158     0.688   d7(4F)4p y3F             (4F)4p y3F
   3.0  @  38175.352     1.324   d7(4F)4p y3D             (4F)4p y3D
   2.0  @  38678.036     1.151   d7(4F)4p y3D             (4F)4p y3D
   1.0  @  38995.733     0.493   d7(4F)4p y3D             (4F)4p y3D
   4.0  @  39625.801     1.489   d6(5D)4s4p(1P) x5D       5Dsp1P x5D
   3.0  @  39969.850     1.504   d6(5D)4s4p(1P) x5D       5Dsp1P x5D
   2.0  @  40052.032     2.340   d5(6S)4s2 4p y7P         6S)s2p y7P
   3.0  @  40207.088     1.908   d5(6S)4s2 4p y7P         6S)s2p y7P
   2.0  @  40231.333     1.501   d6(5D)4s4p(1P) x5D       5Dsp1P x5D
   5.0  @  40257.311     1.390   d6(5D)4s4p(1P) x5F       5Dsp1P x5F
   1.0  @  40404.515     1.498   d6(5D)4s4p(1P) x5D       5Dsp1P x5D
   4.0  @  40421.935     1.75   ?d5(6S)4s2 4p y7P         6S)s2p y7P
   0.0  @  40491.281             d6(5D)4s4p(1P) x5D       5Dsp1P x5D
   4.0  @  40594.429     1.328   d6(5D)4s4p(1P) x5F       5Dsp1P x5F
   3.0  @  40842.151     1.254   d6(5D)4s4p(1P) x5F       5Dsp1P x5F
   2.0     40871.409             3d8 3P                   3d8 3P
   2.0  @  40894.987     1.985   d6(a3P)4s4p(3P) z5S      3Psp3P z5S
   2.0  @  41018.048     0.998   d6(5D)4s4p(1P) x5F       5Dsp1P x5F
   1.0  @  41130.596    -0.006   d6(5D)4s4p(1P) x5F       5Dsp1P x5F
   1.0     41178.409             3d8 3P                   3d8 3P
   0.0     41234.502             3d8 3P                   3d8 3P
   3.0  @  42532.738     1.650   d6(a3P)4s4p(3P) x5P      3Psp3P x5P
   6.0  @  42784.349     1.342   d6(3H)4s4p(3P) y5G       3Hsp3P y5G
   5.0     42815.852     1.585   3d6 4s(6D)5s e7D         s6D)5s e7D
   2.0  @  42859.775     1.822   d6(a3P)4s4p(3P) x5P      3Psp3P x5P
   6.0  @  42903.858             d6(3H)4s4p(3P) z5I       3Hsp3P z5I
   5.0  @  42911.914     1.203   d6(3H)4s4p(3P) y5G       3Hsp3P y5G
   5.0  @  42991.694     1.054   d6(3H)4s4p(3P) z5I       3Hsp3P z5I
   4.0  @  43022.982     1.024   d6(3H)4s4p(3P) y5G       3Hsp3P y5G
   1.0  @  43079.020     2.464   d6(a3P)4s4p(3P) x5P      3Psp3P x5P
   4.0  @  43108.914     0.871   d6(3H)4s4p(3P) z5I       3Hsp3P z5I
   3.0  @  43137.484     0.905   d6(3H)4s4p(3P) y5G       3Hsp3P y5G
   4.0     43163.323     1.655   3d6 4s(6D)5s e7D         s6D)5s e7D
   2.0  @  43210.022     0.331   d6(3H)4s4p(3P) y5G       3Hsp3P y5G
   6.0  @  43321.093             d6(3H)4s4p(3P) z5H       3Hsp3P z5H
   3.0  @  43325.961     0.509   d6(3H)4s4p(3P) z5H       3Hsp3P z5H
   3.0     43434.624     1.755   3d6 4s(6D)5s e7D         s6D)5s e7D
   4.0  @  43442.702             d6(3H)4s4p(3P) z5H       3Hsp3P z5H
   5.0  @  43460.118             d6(3H)4s4p(3P) z5H       3Hsp3P z5H
   4.0  @  43499.502     1.492   d6(a3P)4s4p(3P) w5D      3Psp3P w5D
   2.0     43633.530     2.009   3d6 4s(6D)5s e7D         s6D)5s e7D
   1.0     43763.977     3.002   3d6 4s(6D)5s e7D         s6D)5s e7D
   3.0  @  43922.665     1.481   d6(a3P)4s4p(3P) w5D      3Psp3P w5D
   4.0  @  44022.522     1.444   d6(a3F)4s4p(3P) v5D      3Fsp3P v5D
   3.0  @  44166.203     1.351   d6(a3F)4s4p(3P) v5D      3Fsp3P v5D
   2.0  @  44183.625     1.533   d6(a3P)4s4p(3P) w5D      3Psp3P w5D
   5.0  @  44243.682     1.382   d6(a3F)4s4p(3P) w5F      3Fsp3P w5F
   2.0  @  44285.451     1.117   d6(a3F)4s4p(3P) w5F      3Fsp3P w5F
   1.0  @  44378.339     0.283   d6(a3F)4s4p(3P) 5F       3Fsp3P w5F
   1.0  @  44411.157     1.315   d6(a3P)4s4p(3P) w5D      3Psp3P w5D
   4.0  @  44415.071     1.401   d6(a3F)4s4p(3P) w5F      3Fsp3P w5F
   0.0  @  44458.931             d6(a3P)4s4p(3P) w5D      3Psp3P w5D
   2.0  @  44511.809     1.888   d7(4P)4p y5S             (4P)4p y5S
   3.0  @  44551.332     1.386   d6(a3F)4s4p(3P) w5F      3Fsp3P w5F
   2.0  @  44664.072     1.378   d6(a3F)4s4p(3P) v5D      3Fsp3P v5D
   4.0     44677.003     1.502   3d6 4s(6D)5s e5D         s6D)5s e5D
   1.0  @  44760.743     1.389   d6(a3F)4s4p(3P) 5D       3Fsp3P v5D
   0.0  @  44826.897             d6(a3F)4s4p(3P) 5D       3Fsp3P v5D
   3.0     45061.326     1.508   3d6 4s(6D)5s e5D         s6D)5s e5D
   3.0  @  45220.678     1.352   d6(a3P)4s4p(3P) x3D      3Psp3P x3D
   2.0  @  45281.830     1.200   d6(a3P)4s4p(3P) x3D      3Psp3P x3D
