#Linelist between 0 and 1.26E6 A (KALD)  -llc- TM (2015-3-12)
    112.061    4       3s2.3p  2P* 48259.379    6      3s2.77d  2D   3.614E-05    2076.2969
    112.061    4       3s2.3p  2P* 48258.988    2      3s2.77s  2S   1.425E-06    2076.3140
    112.061    4       3s2.3p  2P* 48258.867    6      3s2.76d  2D   3.758E-05    2076.3188
    112.061    4       3s2.3p  2P* 48258.867    4      3s2.76d  2D   4.246E-06    2076.3188
    112.061    4       3s2.3p  2P* 48258.461    2      3s2.76s  2S   1.482E-06    2076.3359
    112.061    4       3s2.3p  2P* 48258.340    6      3s2.75d  2D   3.908E-05    2076.3420
    112.061    4       3s2.3p  2P* 48258.340    4      3s2.75d  2D   4.415E-06    2076.3420
    112.061    4       3s2.3p  2P* 48257.914    2      3s2.75s  2S   1.541E-06    2076.3601
    112.061    4       3s2.3p  2P* 48257.785    4      3s2.74d  2D   4.602E-06    2076.3660
    112.061    4       3s2.3p  2P* 48257.785    6      3s2.74d  2D   4.073E-05    2076.3660
    112.061    4       3s2.3p  2P* 48257.344    2      3s2.74s  2S   1.603E-06    2076.3850
    112.061    4       3s2.3p  2P* 48257.211    6      3s2.73d  2D   4.246E-05    2076.3901
    112.061    4       3s2.3p  2P* 48257.211    4      3s2.73d  2D   4.786E-06    2076.3901
    112.061    4       3s2.3p  2P* 48256.750    2      3s2.73s  2S   1.671E-06    2076.4102
    112.061    4       3s2.3p  2P* 48256.609    6      3s2.72d  2D   4.425E-05    2076.4160
    112.061    4       3s2.3p  2P* 48256.609    4      3s2.72d  2D   4.988E-06    2076.4160
    112.061    4       3s2.3p  2P* 48256.129    2      3s2.72s  2S   1.742E-06    2076.4370
    112.061    4       3s2.3p  2P* 48255.984    6      3s2.71d  2D   4.613E-05    2076.4431
    112.061    4       3s2.3p  2P* 48255.984    4      3s2.71d  2D   5.211E-06    2076.4431
    112.061    4       3s2.3p  2P* 48255.480    2      3s2.71s  2S   1.815E-06    2076.4651
    112.061    4       3s2.3p  2P* 48255.332    6      3s2.70d  2D   4.808E-05    2076.4709
    112.061    4       3s2.3p  2P* 48255.328    4      3s2.70d  2D   5.432E-06    2076.4719
    112.061    4       3s2.3p  2P* 48254.809    2      3s2.70s  2S   1.896E-06    2076.4939
    112.061    4       3s2.3p  2P* 48254.648    6      3s2.69d  2D   5.023E-05    2076.5010
    112.061    4       3s2.3p  2P* 48254.648    4      3s2.69d  2D   5.675E-06    2076.5010
    112.061    4       3s2.3p  2P* 48254.102    2      3s2.69s  2S   1.981E-06    2076.5249
    112.061    4       3s2.3p  2P* 48253.934    4      3s2.68d  2D   5.928E-06    2076.5320
    112.061    4       3s2.3p  2P* 48253.938    6      3s2.68d  2D   5.247E-05    2076.5320
    112.061    4       3s2.3p  2P* 48253.363    2      3s2.68s  2S   2.070E-06    2076.5559
    112.061    4       3s2.3p  2P* 48253.191    6      3s2.67d  2D   5.482E-05    2076.5640
    112.061    4       3s2.3p  2P* 48253.188    4      3s2.67d  2D   6.194E-06    2076.5640
      0.000    2       3s2.3p  2P* 48140.789    2      3s2.30s  2S   2.410E-05    2076.5781
    112.061    4       3s2.3p  2P* 48252.590    2      3s2.67s  2S   2.162E-06    2076.5898
    112.061    4       3s2.3p  2P* 48252.406    4      3s2.66d  2D   6.485E-06    2076.5981
    112.061    4       3s2.3p  2P* 48252.410    6      3s2.66d  2D   5.740E-05    2076.5981
    112.061    4       3s2.3p  2P* 48251.781    2      3s2.66s  2S   2.264E-06    2076.6250
    112.061    4       3s2.3p  2P* 48251.594    6      3s2.65d  2D   6.011E-05    2076.6331
    112.061    4       3s2.3p  2P* 48251.590    4      3s2.65d  2D   6.791E-06    2076.6331
    112.061    4       3s2.3p  2P* 48250.934    2      3s2.65s  2S   2.366E-06    2076.6611
    112.061    4       3s2.3p  2P* 48250.734    4      3s2.64d  2D   7.111E-06    2076.6702
    112.061    4       3s2.3p  2P* 48250.734    6      3s2.64d  2D   6.294E-05    2076.6702
      0.000    2       3s2.3p  2P* 48138.574    4      3s2.29d  2D   7.533E-04    2076.6741
    112.061    4       3s2.3p  2P* 48250.047    2      3s2.64s  2S   2.483E-06    2076.7000
    112.061    4       3s2.3p  2P* 48249.836    6      3s2.63d  2D   6.606E-05    2076.7080
    112.061    4       3s2.3p  2P* 48249.836    4      3s2.63d  2D   7.446E-06    2076.7090
    112.061    4       3s2.3p  2P* 48249.113    2      3s2.63s  2S   2.600E-06    2076.7400
    112.061    4       3s2.3p  2P* 48248.895    6      3s2.62d  2D   6.917E-05    2076.7490
    112.061    4       3s2.3p  2P* 48248.891    4      3s2.62d  2D   7.815E-06    2076.7490
    112.061    4       3s2.3p  2P* 48248.133    2      3s2.62s  2S   2.729E-06    2076.7820
    112.061    4       3s2.3p  2P* 48247.902    6      3s2.61d  2D   7.277E-05    2076.7920
    112.061    4       3s2.3p  2P* 48247.902    4      3s2.61d  2D   8.202E-06    2076.7920
    112.061    4       3s2.3p  2P* 48247.102    2      3s2.61s  2S   2.864E-06    2076.8259
    112.061    4       3s2.3p  2P* 48246.859    4      3s2.60d  2D   8.629E-06    2076.8369
    112.061    4       3s2.3p  2P* 48246.863    6      3s2.60d  2D   7.637E-05    2076.8369
    112.061    4       3s2.3p  2P* 48246.020    2      3s2.60s  2S   3.013E-06    2076.8730
    112.061    4       3s2.3p  2P* 48245.766    6      3s2.59d  2D   8.034E-05    2076.8840
    112.061    4       3s2.3p  2P* 48245.766    4      3s2.59d  2D   9.077E-06    2076.8840
    112.061    4       3s2.3p  2P* 48244.879    2      3s2.59s  2S   3.169E-06    2076.9219
    112.061    4       3s2.3p  2P* 48244.613    6      3s2.58d  2D   8.452E-05    2076.9341
    112.061    4       3s2.3p  2P* 48244.609    4      3s2.58d  2D   9.549E-06    2076.9341
    112.061    4       3s2.3p  2P* 48243.680    2      3s2.58s  2S   3.334E-06    2076.9741
    112.061    4       3s2.3p  2P* 48243.395    4      3s2.57d  2D   1.007E-05    2076.9858
    112.061    4       3s2.3p  2P* 48243.398    6      3s2.57d  2D   8.911E-05    2076.9858
      0.000    2       3s2.3p  2P* 48130.504    2      3s2.29s  2S   2.667E-05    2077.0220
    112.061    4       3s2.3p  2P* 48242.410    2      3s2.57s  2S   3.515E-06    2077.0291
    112.061    4       3s2.3p  2P* 48242.113    4      3s2.56d  2D   1.062E-05    2077.0420
    112.061    4       3s2.3p  2P* 48242.113    6      3s2.56d  2D   9.396E-05    2077.0420
