#  lambda[Å] A_ki[s⁻¹] loggf   Acc  Ei[cm⁻¹]   Ek[cm⁻¹]  cfg_i                term_i     cfg_k                  term_k   gi  gk rtype ref1          ref2
  1869.26066   None    None   None   415.933  53913.020  3d6.4s2               a5D       3d6.(3D).4s.4p.(3P*)   5D*       7  5  None None           L11631  
  1870.01199   None    None   None   415.933  53891.526  3d6.4s2               a5D       3d6.(3D).4s.4p.(3P*)   5D*       7  7  None None        L11631c80 
  1870.35195   None    None   None   415.933  53881.806  3d6.4s2               a5D       3d6.(3D).4s.4p.(3P*)   5F*       7  9  None None           L11631  
  1871.89086   None    None   None   415.933  53837.851  3d6.4s2               a5D       3d7.(4F).5p            3D*       7  7  None None           L11631  
  1872.37085   None    None   None   704.007  54112.230  3d6.4s2               a5D       3d6.(3D).4s.4p.(3P*)  t5P*       5  5  None None           L11631  
  1873.05774   None    None   None     0.000  53388.637  3d6.4s2               a5D       3d7.(4F).5p            5F*       9  9  None None           L11631  
  1873.25799   None    None   None   888.132  54271.062  3d6.4s2               a5D       3d6.(3D).4s.4p.(3P*)  t5P*       3  3  None None           L11631 
  1874.89613   None    None   None   888.132  54224.420  3d6.4s2               a5D       3d7.(4F).5p            5F*       3  3  None None        L11631c80  
  1875.15816   None    None   None     0.000  53328.835  3d6.4s2               a5D       3d7.(4F).5p            3F*       9  9  None None           L11631  
  1875.69971   None    None   None     0.000  53313.438  3d6.4s2               a5D       3d6.(3G).4s.4p.(3P*)  y1H*       9  11 None None        L11631c80  
  1876.14758   None    None   None   704.007  54004.718  3d6.4s2               a5D       3d6.(3D).4s.4p.(3P*)  t5P*       5  7  None None           L11631  
  1876.41946   None    None   None   978.074  54271.062  3d6.4s2               a5D       3d6.(3D).4s.4p.(3P*)  t5P*       1  3  None None           L11631 
  1877.1680    None    None   None   704.007  53975.744  3d6.4s2               a5D       3d6.(3D).4s.4p.(3P*)   5D*       5  3  None None           L11631  
  1878.10547   None    None   None   415.933  53661.079  3d6.4s2               a5D       3d7.(4F).5p            5F*       7  7  None None           L11631  
  1878.84819   None    None   None   888.132  54112.230  3d6.4s2               a5D       3d6.(3D).4s.4p.(3P*)  t5P*       3  5  None None           L11631  
  1879.38085   None    None   None   704.007  53913.020  3d6.4s2               a5D       3d6.(3D).4s.4p.(3P*)   5D*       5  5  None None           L11631  
  1880.14034   None    None   None   704.007  53891.526  3d6.4s2               a5D       3d6.(3D).4s.4p.(3P*)   5D*       5  7  None None           L11631 
  1881.31198   None    None   None   888.132  54042.527  3d6.4s2               a5D       3d7.(4F).5p            5F*       3  5  None None           L11631  
  1882.03963   None    None   None   704.007  53837.851  3d6.4s2               a5D       3d7.(4F).5p            3D*       5  7  None None        L11631c80  
