#lambda[Å] A_ki[s⁻¹] loggf Acc   Ei[cm⁻¹]    Ek[cm⁻¹] cfg_i     term_i cfg_k                term_k    gi  gk rtype  ref1     ref2
  3062.240 1.0e+08  -0.36   E   300507.11  333162.94  2s2.2p5.3p  3P   2s2.2p5.(2P*<1/2>).3d  2[3/2]*  3  3  None  T7663c80  L914
  3065.265 7.62e+06 -1.270  C   298165.44  330789.05  2s2.2p5.3p  3D   2s2.2p5.(2P*<3/2>).3d  2[3/2]*  3  5  None     T6036  L914
  3067.425 3.74e+07 -0.801  B   300507.11  333107.74  2s2.2p5.3p  3P   2s2.2p5.(2P*<1/2>).4s  2[1/2]*  3  3  None  T7663c80  L914
  3071.715 8.7e+06  -1.4    C   299189.96  331745.06  2s2.2p5.3p  1D   2s2.2p5.(2P*<3/2>).3d  2[3/2]*  5  3  None     T6036  L914
  3075.225 1.4e+08   0.15   E   299189.96  331707.90  2s2.2p5.3p  1D   2s2.2p5.(2P*<3/2>).3d  2[5/2]*  5  7  None  T6036c79  L914
  3079.214 1.17e+08 -0.303  A   265689.62  298165.44  2s2.2p5.3s  3P*  2s2.2p5.3p             3D       3  3  None     T7663  L914
  3079.232 3.6e+05  -2.6    E   299189.96  331665.59  2s2.2p5.3p  1D   2s2.2p5.(2P*<3/2>).3d  2[5/2]*  5  5  None  T6036c79  L914
  3079.641 3.59e+06 -1.815  D+  298165.44  330636.75  2s2.2p5.3p  3D   2s2.2p5.(2P*<3/2>).3d  2[1/2]*  3  3  None     T6036  L914
  3081.146 2.81e+08  0.301  B+  300507.11  332962.57  2s2.2p5.3p  3P   2s2.2p5.(2P*<1/2>).3d  2[3/2]*  3  5  None     T6036  L914
  3087.953 1.66e+07 -1.625  C   298165.44  330549.35  2s2.2p5.3p  3D   2s2.2p5.(2P*<3/2>).3d  2[1/2]*  3  1  None     T6036  L914
  3093.629 2.09e+08  0.323  A   264924.32  297248.82  2s2.2p5.3s  3P*  2s2.2p5.3p             3D       5  7  None     T7663  L914
  3095.347 1.1e+06  -2.1    E   299189.96  331496.51  2s2.2p5.3p  1D   2s2.2p5.(2P*<3/2>).4s  2[3/2]*  5  5  None  T7663c78  L914
