 #lambda[Å] A_ki[s⁻¹]  loggf Acc Ei[cm⁻¹]  Ek[cm⁻¹]  cfg_i term_i cfg_k  term_k gi gk rtype   ref1    ref2
   2209.300 6.2e+07   -1.04   C  25414.40  70677.62  3p6.4p  2P*  3p6.6s   2S   4  2  None      u7,LS L7323
   3159.783 3.1e+08    0.27   C  25191.51  56839.25  3p6.4p  2P*  3p6.4d   2D   2  4  None      T8043 L7323
   3180.251 3.6e+08    0.52   C  25414.40  56858.46  3p6.4p  2P*  3p6.4d   2D   4  6  None      u7,LS L7323
   3182.195 5.8e+07   -0.45   C  25414.40  56839.25  3p6.4p  2P*  3p6.4d   2D   4  4  None      T8043 L7323
   3707.078 8.8e+07   -0.44   C  25191.51  52166.93  3p6.4p  2P*  3p6.5s   2S   2  2  None      T8043 L7323
   3737.964 1.7e+08   -0.15   C  25414.40  52166.93  3p6.4p  2P*  3p6.5s   2S   4  2  None      T8043 L7323
   3934.777 1.47e+08   0.135  C      0.00  25414.40  3p6.4s  2S   3p6.4p   2P*  2  4  None      T8043 L7323
   3969.592 1.4e+08   -0.18   C      0.00  25191.51  3p6.4s  2S   3p6.4p   2P*  2  2  None      T8043 L7323
   4098.254 9.9e+06   -1.00   D  60533.02  84933.65  3p6.5p  2P*  3p6.7d   2D   2  4  None T1619CA,LS L7323
   4110.975 1.2e+07   -0.74   D  60611.28  84936.41  3p6.5p  2P*  3p6.7d   2D   4  6  None T1619CA,LS L7323
   4111.442 1.9e+06   -1.72   D  60611.28  84933.65  3p6.5p  2P*  3p6.7d   2D   4  4  None T1619CA,LS L7323
   4207.361 4.3e+06   -1.64   D  60533.02  84300.89  3p6.5p  2P*  3p6.8s   2S   2  2  None T1619CA,LS L7323
   4221.260 8.5e+06   -1.34   D  60611.28  84300.89  3p6.5p  2P*  3p6.8s   2S   4  2  None T1619CA,LS L7323
   5002.874 2.0e+07   -0.52   D  60533.02  80521.53  3p6.5p  2P*  3p6.6d   2D   2  4  None T1619CA,LS L7323
   5021.371 2.3e+07   -0.28   D  60611.28  80526.16  3p6.5p  2P*  3p6.6d   2D   4  6  None T1619CA,LS L7323
   5022.538 3.9e+06   -1.23   D  60611.28  80521.53  3p6.5p  2P*  3p6.6d   2D   4  4  None T1619CA,LS L7323
   5286.737 7.8e+06   -1.18   D  60533.02  79448.28  3p6.5p  2P*  3p6.7s   2S   2  2  None T1619CA,LS L7323
   5308.701 1.5e+07   -0.90   D  60611.28  79448.28  3p6.5p  2P*  3p6.7s   2S   4  2  None T1619CA,LS L7323
   7293.48  1.3e+00    None   E      0.00  13710.88  3p6.4s  2S   3p6.3d   2D   2  6   E2        T340 L7323
   7325.91  1.3e+00    None   E      0.00  13650.19  3p6.4s  2S   3p6.3d   2D   2  4   E2        T340 L7323
   8203.97  5.1e+07    0.31   C  60533.02  72722.23  3p6.5p  2P*  3p6.5d   2D   2  4  None T1619CA,LS L7323
   8251.07  6.1e+07    0.57   C  60611.28  72730.93  3p6.5p  2P*  3p6.5d   2D   4  6  None T1619CA,LS L7323
   8256.99  1.0e+07   -0.39   C  60611.28  72722.23  3p6.5p  2P*  3p6.5d   2D   4  4  None T1619CA,LS L7323
   8500.35  1.11e+06  -1.318  C  13650.19  25414.40  3p6.3d  2D   3p6.4p   2P*  4  4  None      u7,LS L7323
   8544.44  9.9e+06   -0.36   C  13710.88  25414.40  3p6.3d  2D   3p6.4p   2P*  6  4  None      u7,LS L7323
   8664.52  1.06e+07  -0.622  C  13650.19  25191.51  3p6.3d  2D   3p6.4p   2P*  4  2  None      u7,LS L7323
   9857.46  1.9e+07   -0.26   D  60533.02  70677.62  3p6.5p  2P*  3p6.6s   2S   2  2  None T1619CA,LS L7323
   9934.09  3.8e+07    0.05   D  60611.28  70677.62  3p6.5p  2P*  3p6.6s   2S   4  2  None T1619CA,LS L7323
  11842.24  2.3e+07    0.29   D  52166.93  60611.28  3p6.5s  2S   3p6.5p   2P*  2  4  None T1619CA,LS L7323
  11953.01  2.3e+07   -0.01   D  52166.93  60533.02  3p6.5s  2S   3p6.5p   2P*  2  2  None T1619CA,LS L7323
1647710     2.41e-06   None   A  13650.19  13710.88  3p6.3d  2D   3p6.3d   2D   4  6   M1        T340 None 
