 #lambda[Å] A_ki[s⁻¹]   loggf   Acc  Ei[cm⁻¹] Ek[cm⁻¹]   cfg_i             term_i   cfg_k               term_k    gi  gk rtype  ref1   ref2
  1548.489  5.00e+08    0.100 None  164927.9  229507.0   3p5.3d             3P*     3p5.(2P*<1/2>).4f  2[5/2]      5  7  None  T8304  L12188
  1570.628  2.96e+08   -0.484 None  163432.1  227100.9   3p5.3d             3P*     3p5.(2P*<3/2>).4f  2[3/2]      1  3  None  T8304  L12188
  1576.650  7.11e+07   -0.878 None  179349.2  242774.8   3p5.3d             1D*     3p5.(2P*<3/2>).6f  2[5/2]      5  5  None  T8304  L12188
  1576.740  3.49e+06   -2.041 None  179349.2  242771.2   3p5.3d             1D*     3p5.(2P*<3/2>).6f  2[5/2]      5  7  None  T8304  L12188
  1576.907  6.31e+08    0.326 None  179395.8  242811.1   3p5.3d             3D*     3p5.(2P*<3/2>).6f  2[7/2]      7  9  None  T8304  L12188
  1577.810  1.15e+06   -2.668 None  179395.8  242774.8   3p5.3d             3D*     3p5.(2P*<3/2>).6f  2[5/2]      7  5  None  T8304  L12188
  1577.899  1.21e+06   -2.500 None  179395.8  242771.2   3p5.3d             3D*     3p5.(2P*<3/2>).6f  2[5/2]      7  7  None  T8304  L12188
  1578.871  1.63e+08   -0.261 None  179395.8  242732.2   3p5.3d             3D*     3p5.(2P*<3/2>).6f  2[9/2]      7  9  None  T8304  L12188
  1590.452  1.00e+08   -0.722 None  164492.0  227367.2   3p5.3d             3P*     3p5.(2P*<3/2>).4f  2[5/2]      3  5  None  T8304  L12188
  1596.648  4.04e+08   -0.112 None  164492.0  227123.2   3p5.3d             3P*     3p5.(2P*<3/2>).4f  2[3/2]      3  5  None  T8304  L12188
  1597.217  2.10e+08   -0.618 None  164492.0  227100.9   3p5.3d             3P*     3p5.(2P*<3/2>).4f  2[3/2]      3  3  None  T8304  L12188
  1601.555  4.31e+07   -1.082 None  164927.9  227367.2   3p5.3d             3P*     3p5.(2P*<3/2>).4f  2[5/2]      5  5  None  T8304  L12188
  1602.153  8.69e+08    0.369 None  164927.9  227343.9   3p5.3d             3P*     3p5.(2P*<3/2>).4f  2[5/2]      5  7  None  T8304  L12188
