#E[cm⁻¹]      g  configuration           term
 332292       6  2p5.3p.(3S<1>).7p       2[1]* 
 332502       6  2p5.3p.(3P<1>).5p.(I)   None  
 332863       6  2p5.3p.(3S<1>).8p       2[1]* 
 333059       6  2p5.3p.(1D<2>).4p       None  
 333240       6  2p5.3p.(3S<1>).9p       2[1]* 
 333518       6  2p5.3p.(3S<1>).10p      2[1]* 
 333728       6  2p5.3p.(3S<1>).11p      2[1]* 
 333866       6  2p5.3p.(3S<1>).12p      2[1]* 
 333985       6  2p5.3p.(3S<1>).13p      2[1]* 
 334044       6  2p5.3p.(1P<1>).4p       None  
 334085       6  2p5.3p.(3S<1>).14p      2[1]* 
 334169       6  2p5.3p.(3S<1>).15p      2[1]* 
 334213       6  2p5.3p.(3S<1>).16p      2[1]* 
 334616       6  2p5.3p.(3P<1>).4p.(II)  None  
 336010       6  2p5.3p.(1D<2>).5p       None  
 336259       6  2p5.3p.(3P<1>).6p.(I)   None  
 336723       6  2p5.3p.(1P<1>).5p       None  
 337257       6  2p5.3p.(3P<1>).5p.(II)  None  
 337418       6  2p5.3p.(1D<2>).6p       None  
 338149       6  2p5.3p.(1P<1>).6p       None  
 338169       6  2p5.3p.(3P<1>).7p.(I)   None  
 338301       6  2p5.3p.(1D<2>).7p       None  
 338845       6  2p5.3p.(3P<1>).6p.(II)  None  
 338857       6  2p5.3p.(1D<2>).8p       None  
 338995       6  2p5.3p.(1P<1>).7p       None  
 339248       6  2p5.3p.(1D<2>).9p       None  
 339271       6  2p5.3p.(3P<1>).8p.(I)   None  
 339512       6  2p5.3p.(1D<2>).10p      None  
 339570       6  2p5.3p.(1P<1>).8p       None  
 339628       6  2p5.3p.(3P<1>).7p.(II)  None  
 339928       6  2p5.3p.(1P<1>).9p       None  
 339928       6  2p5.3p.(3P<1>).9p.(I)   None  
 340171       6  2p5.3p.(3P<1>).8p.(II)  None  
 340194       6  2p5.3p.(1P<1>).10p      None  
 340379       6  2p5.3p.(3P<1>).10p.(I)  None  
 340402       6  2p5.3p.(1P<1>).11p      None  
 340553       6  2p5.3p.(1P<1>).12p      None  
 340553       6  2p5.3p.(3P<1>).9p.(II)  None  
 340669       6  2p5.3p.(1P<1>).13p      None  
 340704       6  2p5.3p.(3P<1>).11p.(I)  None  
 340762       6  2p5.3p.(1P<1>).14p      None  
 340820       6  2p5.3p.(3P<1>).10p.(II) None  
 340948       6  2p5.3p.(3P<1>).12p.(I)  None  
 341018       6  2p5.3p.(3P<1>).11p.(II) None  
 341111       6  2p5.3p.(3P<1>).13p.(I)  None  
 341200       6  2p5.3p.(3P<1>).12p.(II) None  
 341380       6  2p5.3p.(3P<1>).13p.(II) None  
 341410       6  2p5.3p.(3P<1>).14p.(II) None  
 341530       6  2p5.3p.(3P<1>).15p.(II) None  
 342614       6  2p5.3p.(1S<0>).4p       2[1]* 
 345479       6  2p5.3p.(1S<0>).5p       2[1]* 
 347026       6  2p5.3p.(1S<0>).6p       2[1]* 
 347923       6  2p5.3p.(1S<0>).7p       2[1]* 
 348500       6  2p5.3p.(1S<0>).8p       2[1]* 
 348893       6  2p5.3p.(1S<0>).9p       2[1]* 
 349166       6  2p5.3p.(1S<0>).10p      2[1]* 
 349382       6  2p5.3p.(1S<0>).11p      2[1]* 
 349516       6  2p5.3p.(1S<0>).12p      2[1]* 
 349638       6  2p5.3p.(1S<0>).13p      2[1]* 
 349736       6  2p5.3p.(1S<0>).14p      2[1]* 
 349822       6  2p5.3p.(1S<0>).15p      2[1]* 
 349871       6  2p5.3p.(1S<0>).16p      2[1]* 
 349932       6  2p5.3p.(1S<0>).17p      2[1]* 
 349981       6  2p5.3p.(1S<0>).18p      2[1]* 
 350005       6  2p5.3p.(1S<0>).19p      2[1]* 
 350016       4  2p5.3d.(3P*<2>).4s      2[2]* 
 350447       6  2p5.3d.(1P*<1>).4s      2[1]* 
 351753       6  2p5.4s.(3P*<1>).5s      2[1]* 
 355619       6  2p5.3d.(3D*<1>).4s      2[1]* 
 360826       6  2p5.3d.(1P*<1>).3d      None  
 361126       6  2p5.4s.(3P*<1>).3d      None  
 361418       6  2p5.4s.(1P*<1>).3d      None  
 362050       4  2p5.3d.(3P*<2>).5s      2[2]* 
 362201       6  2p5.3d.(1P*<1>).5s      2[1]* 
 362858       6  2p5.4s.(3P*<1>).6s      2[1]* 
 364766       6  2p5.3d.(3F*<2>).4d      None  
 364990       6  2p5.3d.(3D*<1>).5s      2[1]* 
 366205       4  2p5.3d.(3P*<2>).6s      2[2]* 
 366206       6  2p5.3d.(1P*<1>).4d      None  
 366425       6  2p5.4s.(3P*<1>).4d      None  
 366932       6  2p5.3d.(1P*<1>).6s      2[1]* 
 367215       6  2p5.4s.(3P*<1>).7s      2[1]* 
 367404       6  2p5.4s.(1P*<1>).4d      None  
 367954       6  2p5.3d.(3F*<2>).5d      None  
 368287       4  2p5.3d.(3P*<2>).7s      2[2]* 
 368745       6  2p5.3d.(1P*<1>).5d      None  
 368745       6  2p5.4s.(3P*<1>).5d      None  
 368949       6  2p5.3d.(3D*<1>).6s      2[1]* 
 369031       6  2p5.3d.(1P*<1>).7s      2[1]* 
 369331       6  2p5.4s.(3P*<1>).8s      2[1]* 
 369454       4  2p5.3d.(3P*<2>).8s      2[2]* 
 369645       6  2p5.3d.(3F*<2>).6d      None  
 369992       6  2p5.4s.(1P*<1>).5d      None  
 370096       6  2p5.3d.(1P*<1>).6d      None  
 370137       4  2p5.3d.(3P*<2>).9s      2[2]* 
 370206       6  2p5.4s.(3P*<1>).6d      None  
 370288       6  2p5.3d.(1P*<1>).8s      2[1]* 
 370535       6  2p5.4s.(3P*<1>).9s      2[1]* 
 370631       6  2p5.3d.(3F*<2>).7d      None  
 370645       4  2p5.3d.(3P*<2>).10s     2[2]* 
 370824       6  2p5.3d.(3D*<1>).7s      2[1]* 
 370906       6  2p5.3d.(1P*<1>).7d      None  
 371016       6  2p5.3d.(1P*<1>).9s      2[1]* 
 371016       6  2p5.4s.(3P*<1>).7d      None  
 371237       6  2p5.4s.(3P*<1>).10s     2[1]* 
 371237       6  2p5.3d.(3F*<2>).8d      None  
 371443       6  2p5.4s.(1P*<1>).6d      None  
 371471       6  2p5.3d.(1P*<1>).8d      None  
 371554       6  2p5.3d.(1P*<1>).10s     2[1]* 
 371568       6  2p5.4s.(3P*<1>).8d      None  
 371664       6  2p5.3d.(3F*<2>).9d      None  
 371830       6  2p5.3d.(1P*<1>).9d      None  
 371941       6  2p5.3d.(3F*<2>).10d     None  
 371941       6  2p5.4s.(3P*<1>).9d      None  
 371941       6  2p5.3d.(3D*<1>).8s      2[1]* 
 372148       6  2p5.3d.(3F*<2>).11d     None  
 372218       6  2p5.4s.(3P*<1>).10d     None  
 372273       6  2p5.4s.(1P*<1>).7d      None  
 372398       6  2p5.4s.(3P*<1>).11d     None  
 372550       6  2p5.4s.(3P*<1>).12d     None  
 372606       6  2p5.3d.(3D*<1>).9s      2[1]* 
 372662       6  2p5.4s.(3P*<1>).13d     None  
 372759       6  2p5.4s.(3P*<1>).14d     None  
 372800       6  2p5.4s.(1P*<1>).8d      None  
 373051       6  2p5.3d.(3D*<1>).10s     2[1]* 
 373176       6  2p5.4s.(1P*<1>).9d      None  
 373371       6  2p5.3d.(3D*<1>).11s     2[1]* 
 373455       6  2p5.4s.(1P*<1>).10d     None  
 373608       6  2p5.3d.(3D*<1>).12s     2[1]* 
 373636       6  2p5.4s.(1P*<1>).11d     None  
 373776       6  2p5.3d.(3D*<1>).13s     2[1]* 
 373916       6  2p5.3d.(3D*<1>).14s     2[1]* 
 374000       6  2p5.3d.(3D*<1>).15s     2[1]* 
 374070       6  2p5.3d.(3D*<1>).16s     2[1]* 
 535330       6  2s.(2S).2p6.3s.3p.(3P*) 2P*   
 546600       6  2s.(2S).2p6.3s.3p.(1P*) 2P*   
 559600       6  2s.2p6.3s.(3S).4p       2P*   
 572350       3  2s.2p6.3s               3S    
 575750       1  2s.2p6.3s               1S    
 586200       6  2s.2p6.3p.(3P*).4s      2P*   
 591400       6  2s.2p6.3p.(1P*).4s      2P*   
 594600       6  2s.2p6.3p.(3P*).3d      2P*   
 596400       6  2s.2p6.3p.(3P*).5s      2P*   
 600000       6  2s.2p6.3p.(3P*).6s      2P*   
 618900       6  2s.2p6.(2S).4s.4p.(3P*) 2P*   
 629700       6  2s.2p6.(2S).4s.5p.(3P*) 2P*   
 636600       6  2s.2p6.(2S).3d.4p.(3P*) 2P*   
