#E[cm⁻¹]      g  cfg_term     
 45061.329    7  3d6.(5D).4s.(6D).5s_e5D
 45333.875    5  3d6.(5D).4s.(6D).5s_e5D
 45509.152    3  3d6.(5D).4s.(6D).5s_e5D
 45595.086    1  3d6.(5D).4s.(6D).5s_e5D
 45220.681    7  3d6.(3P2).4s.4p.(3P*)_x3D*   
 45281.833    5  3d6.(3P2).4s.4p.(3P*)_x3D*
 45551.767    3  3d6.(3P2).4s.4p.(3P*)_x3D*
 45294.846   11  3d6.(3H).4s.4p.(3P*)_y3G*   
 45428.402    9  3d6.(3H).4s.4p.(3P*)_y3G*
 45562.974    7  3d6.(3H).4s.4p.(3P*)_y3G*
 45608.361   13  3d6.(3F2).4s.4p.(3P*)_x5G*   
 45726.130   11  3d6.(3F2).4s.4p.(3P*)_x5G*
 45833.223    9  3d6.(3F2).4s.4p.(3P*)_x5G*
 45913.497    7  3d6.(3F2).4s.4p.(3P*)_x5G*
 45964.957    5  3d6.(3F2).4s.4p.(3P*)_x5G*
 45978.008   15  3d6.(3H).4s.4p.(3P*)_z3I*   
 46026.971   13  3d6.(3H).4s.4p.(3P*)_z3I*
 46135.820   11  3d6.(3H).4s.4p.(3P*)_z3I*
 46137.097    7  3d7.(4P).4p_w5P*   
 46313.537    5  3d7.(4P).4p_w5P*
 46410.381    3  3d7.(4P).4p_w5P*
 46600.818    3  3d6.(3P2).4s.4p.(3P*)_z3S*   
 46672.540    1  3d6.(3P2).4s.4p.(3P*)_y3P*   
 46727.074    5  3d6.(3P2).4s.4p.(3P*)_y3P*
 46901.832    3  3d6.(3P2).4s.4p.(3P*)_y3P*
 46720.842    9  3d7.(4P).4p_u5D*   
 46744.993    7  3d7.(4P).4p_u5D*
 47171.531    1  3d7.(4P).4p_u5D*
 47177.234    3  3d7.(4P).4p_u5D*
 46888.517    5  3d7.(4P).4p_u5D*
 46889.142    9  3d6.(3F2).4s.4p.(3P*)_x3F*   
 47092.712    7  3d6.(3F2).4s.4p.(3P*)_x3F*
 47197.010    5  3d6.(3F2).4s.4p.(3P*)_x3F*
 46982.320   13  3d6.(3H).4s.4p.(3P*)_z3H*   
 47008.371   11  3d6.(3H).4s.4p.(3P*)_z3H*
 47106.484    9  3d6.(3H).4s.4p.(3P*)_z3H*
 47005.506   11  3d7.(4F).5s_e5F    
 47377.955    9  3d7.(4F).5s_e5F
 47755.537    7  3d7.(4F).5s_e5F
 48036.673    5  3d7.(4F).5s_e5F
 48221.324    3  3d7.(4F).5s_e5F
 47136.084    5  3d7.(4P).4p_w3D*   
 47017.188    7  3d7.(4P).4p_w3D*
 47272.027    3  3d7.(4P).4p_w3D*
 47363.376   13  3d6.(3G).4s.4p.(3P*)_w5G*   
 47420.228   11  3d6.(3G).4s.4p.(3P*)_w5G*
 47590.048    9  3d6.(3G).4s.4p.(3P*)_w5G*
 47693.239    7  3d6.(3G).4s.4p.(3P*)_w5G*
 47831.153    5  3d6.(3G).4s.4p.(3P*)_w5G*
 47419.687    5  3d6.(3P2).4s.4p.(3P*)_1D*     
 47452.717    9  3d7.(2G).4p_z1G*   
 47555.610    3  3d7.(4P).4p_y3S*   
 47606.114   11  3d6.(3G).4s.4p.(3P*)_v5F*   
 47929.997    9  3d6.(3G).4s.4p.(3P*)_v5F*
 48122.928    7  3d6.(3G).4s.4p.(3P*)_v5F*
 48238.847    5  3d6.(3G).4s.4p.(3P*)_v5F*
 48350.606    3  3d6.(3G).4s.4p.(3P*)_v5F*
 47812.118    9  3d6.(3F2).4s.4p.(3P*)_x3G*   
 47834.221    7  3d6.(3F2).4s.4p.(3P*)_x3G*
 47834.550   11  3d6.(3F2).4s.4p.(3P*)_x3G*
 47855.143   13  3d6.(3G).4s.4p.(3P*)_y5H*   
 48231.280   11  3d6.(3G).4s.4p.(3P*)_y5H*
 48361.882    9  3d6.(3G).4s.4p.(3P*)_y5H*
 48475.686    7  3d6.(3G).4s.4p.(3P*)_y5H*
 47960.940    9  3d7.(4F).5s_e3F    
 48531.865    7  3d7.(4F).5s_e3F
 48928.388    5  3d7.(4F).5s_e3F
 47966.585    7  3d5.(6S).4s2.4p_v5P*   
 48163.446    5  3d5.(6S).4s2.4p_v5P*
 48289.871    3  3d5.(6S).4s2.4p_v5P*
 48098.293   13  3d6.(3H).4s.4p.(3P*)_1I*     
 48304.643    5  3d7.(4P).4p_x3P*   
 48460.113    1  3d7.(4P).4p_x3P*
 48516.138    3  3d7.(4P).4p_x3P*
 48382.603   11  3d7.(2G).4p_z1H*   
 48702.535    9  3d6.(3H).4s.4p.(3P*)_y1G*   
 49108.896    9  3d7.(2G).4p_w3F*   
 49242.886    7  3d7.(2G).4p_w3F*
 49433.131    5  3d7.(2G).4p_w3F*
 49135.023    7  3d6.(3F2).4s.4p.(3P*)_v3D*   
 49242.621    5  3d6.(3F2).4s.4p.(3P*)_v3D*
 49297.635    3  3d6.(3F2).4s.4p.(3P*)_v3D*
 49352.341   11  3d6.(5D).4s.(6D).5p_n7D*   
 49558.734    9  3d6.(5D).4s.(6D).5p_n7D*
 49805.257    7  3d6.(5D).4s.(6D).5p_n7D*
 50008.522    5  3d6.(5D).4s.(6D).5p_n7D*
 50152.619    3  3d6.(5D).4s.(6D).5p_n7D*
 49434.163   13  3d7.(2G).4p_y3H*   
 49604.427   11  3d7.(2G).4p_y3H*
 49726.990    9  3d7.(2G).4p_y3H*
 49460.902   11  3d7.(2G).4p_v3G*   
 49627.884    9  3d7.(2G).4p_v3G*
 49850.590    7  3d7.(2G).4p_v3G*
 49477.127    7  3d6.(3F2).4s.4p.(3P*)_1F*     
 49758.142   13  3d6.(5D).4s.(6D).5p_n7F*   
 50052.194   11  3d6.(5D).4s.(6D).5p_n7F*
 50303.225    9  3d6.(5D).4s.(6D).5p_n7F*
 50433.025    7  3d6.(5D).4s.(6D).5p_n7F*
 50555.762    5  3d6.(5D).4s.(6D).5p_n7F*
 50627.436    3  3d6.(5D).4s.(6D).5p_n7F*
 50659.683    1  3d6.(5D).4s.(6D).5p_n7F*
 49951.344    1  3d7.(2P).4p_w3P*   
 50043.213    3  3d7.(2P).4p_w3P*
 50186.834    5  3d7.(2P).4p_w3P*
