#E[cm⁻¹]         g  configuration
 200773          6  3p5.4s.(1P*).14d_2P*
 200773.001      6  3p5.4s.(1P*).15s_2P*
 200875          6  3p5.4s.(1P*).15d_2P*
 200875.001      6  3p5.4s.(1P*).16s_2P*
 200952          6  3p5.4s.(1P*).16d_2P*
 200952.001      6  3p5.4s.(1P*).17s_2P*
 201014          6  3p5.4s.(1P*).17d_2P*
 201014.001      6  3p5.4s.(1P*).18s_2P*
 201068          6  3p5.4s.(1P*).18d_2P*
 201068.001      6  3p5.4s.(1P*).19s_2P*
 201112          6  3p5.4s.(1P*).19d_2P*
 201112.001      6  3p5.4s.(1P*).20s_2P*
 201149          6  3p5.4s.(1P*).20d_2P*
 201149.001      6  3p5.4s.(1P*).21s_2P*
 201180          6  3p5.4s.(1P*).22s_2P*
 201180.001      6  3p5.4s.(1P*).21d_2P*
 201208          6  3p5.4s.(1P*).23s_2P*
 201208.001      6  3p5.4s.(1P*).22d_2P*
 201231          6  3p5.4s.(1P*).24s_2P*
 201231.001      6  3p5.4s.(1P*).23d_2P*
 201253          6  3p5.4s.(1P*).25s_2P*
 201253.001      6  3p5.4s.(1P*).24d_2P*
 201270          6  3p5.4s.(1P*).26s_2P*
 201270.001      6  3p5.4s.(1P*).25d_2P*
 201286          6  3p5.4s.(1P*).27s_2P*
 201286.001      6  3p5.4s.(1P*).26d_2P*
 201301          6  3p5.4s.(1P*).28s_2P*
 201301.001      6  3p5.4s.(1P*).27d_2P*
 201313          6  3p5.4s.(1P*).29s_2P*
 201313.001      6  3p5.4s.(1P*).28d_2P*
 201324          6  3p5.4s.(1P*).30s_2P*
 201324.001      6  3p5.4s.(1P*).29d_2P*
 201336          6  3p5.4s.(1P*).31s_2P*
 201336.001      6  3p5.4s.(1P*).30d_2P*
 201346          6  3p5.4s.(1P*).32s_2P*
 201346.001      6  3p5.4s.(1P*).31d_2P*
 201356          6  3p5.4s.(1P*).33s_2P*
 201356.001      6  3p5.4s.(1P*).32d_2P*
 201467.1        3  3p5.4s_1P*
 214059          6  3p5.3d.(1P*).5s_2P*
 235452          6  3p5.3d.(1P*).11s_2P*
 235723          6  3p5.3d.(1P*).12s_2P*
 235926          6  3p5.3d.(1P*).13s_2P*
 236070          6  3p5.3d.(1P*).14s_2P*
 236198          6  3p5.3d.(1P*).15s_2P*
 236300          6  3p5.3d.(1P*).16s_2P*
 236383          6  3p5.3d.(1P*).17s_2P*
 236457          6  3p5.3d.(1P*).18s_2P*
 236517          6  3p5.3d.(1P*).19s_2P*
 236569          6  3p5.3d.(1P*).20s_2P*
 236612          6  3p5.3d.(1P*).21s_2P*
 236649          6  3p5.3d.(1P*).22s_2P*
 236678          6  3p5.3d.(1P*).23s_2P*
 236967.4        3  3p5.3d_1P*
