#E[cm⁻¹]     g  configuration       term   p  ref
260686.27    2  2s2.2p2.(3P).5p     2S*    o  NIST                   
260911.96    2  2s2.2p2.(3P).5p     4D*    o  NIST                   
260958.62    4  2s2.2p2.(3P).5p     4D*    o  NIST                   
261044.03    6  2s2.2p2.(3P).5p     4D*    o  NIST                   
261180.59    8  2s2.2p2.(3P).5p     4D*    o  NIST                   
261214.47    2  2s2.2p2.(3P).5p     4P*    o  NIST                   
261261.29    4  2s2.2p2.(3P).5p     4P*    o  NIST                   
261356.02    6  2s2.2p2.(3P).5p     4P*    o  NIST                   
261621.56    4  2s2.2p2.(3P).5p     4S*    o  NIST                   
261698.75    4  2s2.2p2.(3P).5p     2D*    o  NIST                   
261869.94    6  2s2.2p2.(3P).5p     2D*    o  NIST                   
262286.82    2  2s2.2p2.(3P).5p     2P*    o  NIST                   
262368.05    4  2s2.2p2.(3P).5p     2P*    o  NIST                   
265220.3     4  2s2.2p2.(3P).5d     4D     e  NIST                   
265220.3     6  2s2.2p2.(3P).5d     4D     e  NIST                   
265431.5     6  2s2.2p2.(3P).5d     4P     e  NIST                   
265468.2     4  2s2.2p2.(3P).5d     4P     e  NIST                   
265581.2     8  2s2.2p2.(3P).5d     2F     e  NIST                   
265637.10    6  2s2.2p2.(3P).5f_D   2[3]*  o  NIST                   
265638.59    8  2s2.2p2.(3P).5f_D   2[3]*  o  NIST                   
265697.13   10  2s2.2p2.(3P<0>).5g  2[4]   e  NIST                   
265697.13    8  2s2.2p2.(3P<0>).5g  2[4]   e  NIST                   
265718.48    6  2s2.2p2.(3P).5f_G   2[3]*  o  NIST                   
265720.38    8  2s2.2p2.(3P).5f_G   2[3]*  o  NIST                   
265761.29   10  2s2.2p2.(3P).5f_G   2[4]*  o  NIST                   
265763.36    8  2s2.2p2.(3P).5f_G   2[4]*  o  NIST                   
265766.28    4  2s2.2p2.(3P).5f_D   2[2]*  o  NIST                   
265767.55    6  2s2.2p2.(3P).5f_D   2[2]*  o  NIST                   
265794.08    8  2s2.2p2.(3P<1>).5g  2[4]   e  NIST                   
265794.14   10  2s2.2p2.(3P<1>).5g  2[4]   e  NIST                   
265815.98   10  2s2.2p2.(3P<1>).5g  2[5]   e  NIST                   
265816.06   12  2s2.2p2.(3P<1>).5g  2[5]   e  NIST                   
265820.27    6  2s2.2p2.(3P<1>).5g  2[3]   e  NIST                   
265820.46    8  2s2.2p2.(3P<1>).5g  2[3]   e  NIST                   
265855.2     6  2s2.2p2.(3P).5d     2D     e  NIST                   
265893.06    2  2s2.2p2.(3P).5f_D   2[1]*  o  NIST                   
