#E[cm⁻¹]      g  configuration
 87471.789   10  3d5.(4G).4s.4p.(3P*)_y6F*
 87537.646    8  3d5.(4G).4s.4p.(3P*)_y6F*
 87572.959    6  3d5.(4G).4s.4p.(3P*)_y6F*
 87898.178    2  3d5.(4G).4s.4p.(3P*)_y6F*
 87965.137    4  3d5.(4G).4s.4p.(3P*)_y6F*
 87602.335    4  3d5.(4P).4s.4p.(3P*)_6D*   
 88614.523   10  3d5.(4P).4s.4p.(3P*)_6D*
 88209.461    8  3d5.(4P).4s.4p.(3P*)_6D*
 88059.304    6  3d5.(4P).4s.4p.(3P*)_6D*
 87636.30     2  3d5.(4P).4s.4p.(3P*)_6D*
 87985.667    6  3d6.(5D).4d_4P    
 88157.176    4  3d6.(5D).4d_4P
 88189.066    2  3d6.(5D).4d_4P
 88723.398   10  3d6.(5D).5p_6D*   
 88853.535    8  3d6.(5D).5p_6D*
 89119.452    6  3d6.(5D).5p_6D*
 89331.199    4  3d6.(5D).5p_6D*
 89471.372    2  3d6.(5D).5p_6D*
 89128.569    8  3d5.(4P).4s.4p.(3P*)_6P*   
 89444.455    6  3d5.(4P).4s.4p.(3P*)_6P*
 89625.951    4  3d5.(4P).4s.4p.(3P*)_6P*
 90067.357   10  3d6.(3F1).4p_4G*   
 90211.613   12  3d6.(3F1).4p_4G*
 89890.396    8  3d6.(3F1).4p_4G*
 89727.383    6  3d6.(3F1).4p_4G*
 89924.150   12  3d6.(5D).5p_6F*   
 90300.628    8  3d6.(5D).5p_6F*
 90487.827    6  3d6.(5D).5p_6F*
 90593.511    4  3d6.(5D).5p_6F*
 90648.230    2  3d6.(5D).5p_6F*
 90386.533   10  3d6.(5D).5p_6F*
 90042.804   10  3d6.(5D).5p_4F*   
 90780.623    8  3d6.(5D).5p_4F*
 91070.566    6  3d6.(5D).5p_4F*
 91208.892    4  3d6.(5D).5p_4F*
 90397.873    8  3d6.(5D).5p_4D*   
 90638.823    6  3d6.(5D).5p_4D*
 91199.776    2  3d6.(5D).5p_4D*
 90898.878    4  3d6.(5D).5p_4D*
 90629.811    4  3d6.(3P1).4p_4S*   
 92274.123    6  3d6.(3P1).4p_4P*   
 90839.488    2  3d6.(3P1).4p_4P*
 90901.130    6  3d6.(5D).5p_4P*   
 92225.549    4  3d6.(5D).5p_4P*
 92314.764    2  3d6.(5D).5p_4P*
 91048.225    4  3d6.(3P1).5p_4P*   
 91167.936    8  3d6.(5D).5p_w6P* 
 91575.149    6  3d6.(5D).5p_w6P*
 91843.485    4  3d6.(5D).5p_w6P*
 92432.098   12  3d5.(4D).4s.4p.(3P*)_6F*   
 92300.269   10  3d5.(4D).4s.4p.(3P*)_6F*
 92154.154    8  3d5.(4D).4s.4p.(3P*)_6F*
 92018.727    6  3d5.(4D).4s.4p.(3P*)_6F*
 91915.570    4  3d5.(4D).4s.4p.(3P*)_6F*
 91850.584    2  3d5.(4D).4s.4p.(3P*)_6F*
 92249.889   14  3d5.(4G).4s.4p.(3P*)_x4H* 
 92166.417   12  3d5.(4G).4s.4p.(3P*)_x4H*
 92116.529   10  3d5.(4G).4s.4p.(3P*)_x4H*
 92089.043    8  3d5.(4G).4s.4p.(3P*)_x4H*
 92171.690   10  3d6.(3F1).4p_u2G* 
 92602.711    8  3d6.(3F1).4p_u2G*
 92695.398    6  3d6.(3P1).4p_u2D* 
 92216.391    4  3d6.(3P1).4p_u2D*
 92426.967   10  3d5.(4G).4s.4p.(3P*)_v4F* 
 92282.470    8  3d5.(4G).4s.4p.(3P*)_v4F*
 92329.905    6  3d5.(4G).4s.4p.(3P*)_v4F*
 92358.625    4  3d5.(4G).4s.4p.(3P*)_v4F*
 93129.879    8  3d6.(3F1).4p_4D*   
 92899.306    6  3d6.(3F1).4p_4D*
