#E[cm⁻¹]      g  configuration
  48820.60    5  3p6.4s.17p_3P*    
  48826.54    3  3p6.4s.17p_1P*    
  48827.05    5  3p6.4s.16d_1D     
  48829.87    3  3p6.4s.16d_3D     
  48829.95    5  3p6.4s.16d_3D
  48830.47    7  3p6.4s.16d_3D
  48852.58    3  3p6.4s.18s_3S     
  48858.59    1  3p6.4s.18s_1S     
  48872.20    7  3p6.4s.16f_1F*    
  48879.31    5  3p6.4s.18p_3P*    
  48882.37    5  3p6.4s.17d_1D     
  48884.06    3  3p6.4s.18p_1P*    
  48886.75    5  3p6.4s.17d_3D     
  48886.90    3  3p6.4s.17d_3D
  48887.04    7  3p6.4s.17d_3D
  48905.60    3  3p6.4s.19s_3S     
  48910.65    1  3p6.4s.19s_1S     
  48921.95    7  3p6.4s.17f_1F*    
  48927.93    5  3p6.4s.19p_3P*    
  48928.79    5  3p6.4s.18d_1D     
  48931.82    3  3p6.4s.19p_1P*    
  48934.04    5  3p6.4s.18d_3D     
  48934.10    3  3p6.4s.18d_3D
  48934.32    7  3p6.4s.18d_3D
  48949.88    3  3p6.4s.20s_3S     
  48954.13    1  3p6.4s.20s_1S     
  48963.67    7  3p6.4s.18f_1F*    
  48968.10    5  3p6.4s.19d_1D     
  48968.67    5  3p6.4s.20p_3P*    
  48971.93    3  3p6.4s.20p_1P*    
  48973.80    3  3p6.4s.19d_3D     
  48973.92    7  3p6.4s.19d_3D
  48973.95    5  3p6.4s.19d_3D
  48987.35    3  3p6.4s.21s_3S     
  48990.83    1  3p6.4s.21s_1S     
  48998.89    7  3p6.4s.19f_1F*    
  49001.66    5  3p6.4s.20d_1D     
  49003.21    5  3p6.4s.21p_3P*    
  49005.92    3  3p6.4s.21p_1P*    
  49007.58    5  3p6.4s.20d_3D     
  49007.59    3  3p6.4s.20d_3D
  49007.70    7  3p6.4s.20d_3D
  49019.13    3  3p6.4s.22s_3S     
  49022.02    1  3p6.4s.22s_1S     
  49028.93    7  3p6.4s.20f_1F*    
  49030.55    5  3p6.4s.21d_1D     
  49032.70    5  3p6.4s.22p_3P*    
  49034.98    3  3p6.4s.22p_1P*    
  49036.40    5  3p6.4s.21d_3D     
  49046.22    3  3p6.4s.23s_3S     
  49048.85    1  3p6.4s.23s_1S     
  49054.80    7  3p6.4s.21f_1F*    
  49055.62    5  3p6.4s.22d_1D     
  49058.02    5  3p6.4s.23p_3P*    
  49060.02    3  3p6.4s.23p_1P*    
  49061.23    5  3p6.4s.22d_3D     
  49069.82    3  3p6.4s.24s_3S     
  49071.99    1  3p6.4s.24s_1S     
  49077.20    7  3p6.4s.22f_1F*    
  49077.48    5  3p6.4s.23d_1D     
  49080.04    5  3p6.4s.24p_3P*    
  49081.75    3  3p6.4s.24p_1P*    
  49082.83    5  3p6.4s.23d_3D     
  49090.40    3  3p6.4s.25s_3S     
  49092.19    1  3p6.4s.25s_1S     
  49096.52    5  3p6.4s.24d_1D     
  49096.74    7  3p6.4s.23f_1F*    
  49099.25    5  3p6.4s.25p_3P*    
  49100.72    3  3p6.4s.25p_1P*    
  49101.51    5  3p6.4s.24d_3D     
  49108.15    3  3p6.4s.26s_3S     
  49109.85    1  3p6.4s.26s_1S     
  49113.41    5  3p6.4s.25d_1D     
  49113.85    7  3p6.4s.24f_1F*    
  49116.07    5  3p6.4s.26p_3P*    
  49117.38    3  3p6.4s.26p_1P*    
  49118.24    5  3p6.4s.25d_3D     
  49124.02    3  3p6.4s.27s_3S     
  49125.44    1  3p6.4s.27s_1S     
  49128.34    5  3p6.4s.26d_1D     
  49129.00    7  3p6.4s.25f_1F*    
  49130.94    5  3p6.4s.27p_3P*    
  49132.09    3  3p6.4s.27p_1P*    
  49132.77    5  3p6.4s.26d_3D     
  49138.06    3  3p6.4s.28s_3S     
  49139.31    1  3p6.4s.28s_1S     
  49141.63    5  3p6.4s.27d_1D     
  49142.38    7  3p6.4s.26f_1F*    
  49144.19    5  3p6.4s.28p_3P*    
  49145.15    3  3p6.4s.28p_1P*    
  49145.66    5  3p6.4s.27d_3D     
  49150.30    3  3p6.4s.29s_3S     
  49151.59    1  3p6.4s.29s_1S     
  49153.49    5  3p6.4s.28d_1D     
  49154.29    7  3p6.4s.27f_1F*    
  49155.90    5  3p6.4s.29p_3P*    
  49156.78    3  3p6.4s.29p_1P*    
  49157.39    5  3p6.4s.28d_3D     
  49161.54    3  3p6.4s.30s_3S     
  49162.47    1  3p6.4s.30s_1S     
  49164.12    5  3p6.4s.29d_1D     
  49164.99    7  3p6.4s.28f_1F*    
  49166.43    5  3p6.4s.30p_3P*    
  49167.20    3  3p6.4s.30p_1P*    
  49167.55    5  3p6.4s.29d_3D     
  49171.42    3  3p6.4s.31s_3S     
  49172.43    1  3p6.4s.31s_1S     
  49173.70    5  3p6.4s.30d_1D     
  49175.87    5  3p6.4s.31p_3P*    
  49176.58    3  3p6.4s.31p_1P*    
  49177.13    5  3p6.4s.30d_3D     
  49180.48    3  3p6.4s.32s_3S     
  49181.49    1  3p6.4s.32s_1S     
  49182.36    5  3p6.4s.31d_1D     
  49184.37    5  3p6.4s.32p_3P*    
  49185.02    3  3p6.4s.32p_1P*    
  49185.24    5  3p6.4s.31d_3D     
  49188.37    3  3p6.4s.33s_3S     
  49190.17    5  3p6.4s.32d_1D     
  49192.08    5  3p6.4s.33p_3P*    
  49192.68    3  3p6.4s.33p_1P*    
  49193.06    5  3p6.4s.32d_3D     
  49195.64    3  3p6.4s.34s_3S     
  49197.30    5  3p6.4s.33d_1D     
  49199.09    5  3p6.4s.34p_3P*    
  49199.62    3  3p6.4s.34p_1P*    
  49199.93    5  3p6.4s.33d_3D     
  49202.47    3  3p6.4s.35s_3S     
  49203.78    5  3p6.4s.34d_1D     
  49205.47    5  3p6.4s.35p_3P*    
  49205.95    3  3p6.4s.35p_1P*    
  49206.17    5  3p6.4s.34d_3D     
  49208.53    3  3p6.4s.36s_3S     
  49209.68    5  3p6.4s.35d_1D     
  49211.34    5  3p6.4s.36p_3P*    
  49211.72    3  3p6.4s.36p_1P*    
  49212.01    5  3p6.4s.35d_3D     
  49215.11    5  3p6.4s.36d_1D     
  49216.61    5  3p6.4s.37p_3P*    
  49217.02    3  3p6.4s.37p_1P*    
  49217.18    5  3p6.4s.36d_3D     
  49220.10    5  3p6.4s.37d_1D     
  49221.51    5  3p6.4s.38p_3P*    
  49221.87    3  3p6.4s.38p_1P*    
  49222.06    5  3p6.4s.37d_3D     
  49224.70    5  3p6.4s.38d_1D     
  49226.02    5  3p6.4s.39p_3P*    
  49226.35    3  3p6.4s.39p_1P*    
  49226.56    5  3p6.4s.38d_3D     
  49228.92    5  3p6.4s.39d_1D     
  49230.13    5  3p6.4s.40p_3P*    
  49230.45    3  3p6.4s.40p_1P*    
  49230.54    5  3p6.4s.39d_3D     
  49232.81    5  3p6.4s.40d_1D     
  49234.00    5  3p6.4s.41p_3P*    
  49234.28    3  3p6.4s.41p_1P*    
  49234.47    5  3p6.4s.40d_3D     
  49236.45    5  3p6.4s.41d_1D     
  49237.55    5  3p6.4s.42p_3P*    
  49237.82    3  3p6.4s.42p_1P*    
  49237.82    5  3p6.4s.41d_3D     
  49239.80    5  3p6.4s.42d_1D     
  49240.81    5  3p6.4s.43p_3P*    
  49241.09    3  3p6.4s.43p_1P*    
  49241.09    5  3p6.4s.42d_3D     
  49242.93    5  3p6.4s.43d_1D     
  49243.87    5  3p6.4s.44p_3P*    
  49244.13    3  3p6.4s.44p_1P*    
  49244.26    5  3p6.4s.43d_3D     
  49245.80    5  3p6.4s.44d_1D     
  49246.74    5  3p6.4s.45p_3P*    
  49246.98    3  3p6.4s.45p_1P*    
  49247.04    5  3p6.4s.44d_3D     
  49248.52    5  3p6.4s.45d_1D     
  49249.37    5  3p6.4s.46p_3P*    
  49249.56    5  3p6.4s.45d_3D     
  49249.61    3  3p6.4s.46p_1P*    
  49251.05    5  3p6.4s.46d_1D     
  49251.87    5  3p6.4s.47p_3P*    
  49252.08    3  3p6.4s.47p_1P*    
  49252.10    5  3p6.4s.46d_3D     
  49253.40    5  3p6.4s.47d_1D     
  49254.22    5  3p6.4s.48p_3P*    
  49254.41    3  3p6.4s.48p_1P*    
  49254.43    5  3p6.4s.47d_3D     
  49255.64    5  3p6.4s.48d_1D     
  49256.42    5  3p6.4s.49p_3P*    
  49256.55    5  3p6.4s.48d_3D     
  49256.56    3  3p6.4s.49p_1P*    
  49257.74    5  3p6.4s.49d_1D     
  49258.45    5  3p6.4s.50p_3P*    
  49258.60    3  3p6.4s.50p_1P*    
  49258.65    5  3p6.4s.49d_3D     
  49259.68    5  3p6.4s.50d_1D     
  49260.36    5  3p6.4s.51p_3P*    
  49260.51    3  3p6.4s.51p_1P*    
  49260.64    5  3p6.4s.50d_3D     
  49261.51    5  3p6.4s.51d_1D     
  49262.15    5  3p6.4s.52p_3P*    
  49262.30    3  3p6.4s.52p_1P*    
  49262.42    5  3p6.4s.51d_3D     
  49263.31    5  3p6.4s.52d_1D     
  49263.85    5  3p6.4s.53p_3P*    
  49263.99    3  3p6.4s.53p_1P*    
  49264.19    7  3p6.4s.52d_3D     
  49264.77    5  3p6.4s.53d_1D     
  49265.44    5  3p6.4s.54p_3P*    
  49265.59    3  3p6.4s.54p_1P*    
  49265.60    5  3p6.4s.53d_3D     
  49266.36    5  3p6.4s.54d_1D     
  49266.99    5  3p6.4s.55p_3P*    
  49267.10    3  3p6.4s.55p_1P*    
  49267.18    5  3p6.4s.54d_3D     
  49267.84    5  3p6.4s.55d_1D     
  49268.40    5  3p6.4s.56p_3P*    
  49268.52    3  3p6.4s.56p_1P*    
  49268.57    5  3p6.4s.55d_3D     
  49269.33    5  3p6.4s.56d_1D     
  49269.77    5  3p6.4s.57p_3P*    
  49269.88    3  3p6.4s.57p_1P*    
  49270.01    5  3p6.4s.56d_3D     
  49270.40    5  3p6.4s.57d_1D     
  49271.01    5  3p6.4s.58p_3P*    
  49271.14    3  3p6.4s.58p_1P*    
  49271.25    5  3p6.4s.57d_3D     
  49271.79    5  3p6.4s.58d_1D     
  49272.24    5  3p6.4s.59p_3P*    
  49272.35    3  3p6.4s.59p_1P*    
  49272.49    5  3p6.4s.58d_3D     
  49273.09    5  3p6.4s.59d_1D     
  49273.37    5  3p6.4s.60p_3P*    
  49273.50    3  3p6.4s.60p_1P*    
  49273.53    5  3p6.4s.59d_3D     
  49274.29    5  3p6.4s.60d_1D     
  49274.52    5  3p6.4s.60d_3D     
  49274.60    3  3p6.4s.61p_1P*    
  49275.58    5  3p6.4s.61d_1D     
  49275.62    3  3p6.4s.62p_1P*    
  49275.87    5  3p6.4s.62d_1D     
  49276.61    3  3p6.4s.63p_1P*    
  49277.55    3  3p6.4s.64p_1P*    
  49278.44    3  3p6.4s.65p_1P*    
  49279.30    3  3p6.4s.66p_1P*    
  49280.10    3  3p6.4s.67p_1P*    
  49280.88    3  3p6.4s.68p_1P*    
  49281.62    3  3p6.4s.69p_1P*    
  49282.34    3  3p6.4s.70p_1P*    
  49283.01    3  3p6.4s.71p_1P*    
  49283.67    3  3p6.4s.72p_1P*    
  49284.30    3  3p6.4s.73p_1P*    
  49284.88    3  3p6.4s.74p_1P*    
  49285.46    3  3p6.4s.75p_1P*    
  49286.00    3  3p6.4s.76p_1P*    
  49286.54    3  3p6.4s.77p_1P*    
  49287.05    3  3p6.4s.78p_1P*    
  49287.57    3  3p6.4s.79p_1P*    
  49305.9240  2  4s_2S
  51351.74    3  3p6.3d.4d_3D     
  51369.38    5  3p6.3d.4d_3D
  51396.32    7  3p6.3d.4d_3D
  51553.6     7  3p6.3d.4d_3G     
  51579.0     9  3p6.3d.4d_3G
  51611.4    11  3p6.3d.4d_3G
  51571.7     3  3p6.3d.4d_3S     
  51709.5     3  3p6.3d.5p_3D*    
  51734.6     5  3p6.3d.5p_3D* 
  51767.0     7  3p6.3d.5p_3D* 
  51908       3  3p6.3d.5p_3P*    
  53100       3  3p6.3d.5p_1P*    
  53200.4     9  3p6.3d.4d_3F     
  53214.6     5  3p6.3d.4d_3F 
  53247.9     7  3p6.3d.4d_3F 
  54282.3     1  3p6.3d.4d_3P     
  54288.74    3  3p6.3d.4d_3P 
  54304.6     5  3p6.3d.4d_3P 
  55902.8     3  3p6.3d.4f_3D*    
  55946.6     3  3p6.3d.4f_3P*    
  55982.3     3  3p6.3d.4f_1P*    
  56254       3  3p6.3d.6p_3D*    
  56469.0     5  3p6.3d.5d_3D     
  56532.63    3  3p6.3d.6p_3P*    
  56558.9     3  3p6.3d.5d_3S     
  56651       3  3p6.3d.6p_1P*    
  57462       3  3p6.4p.5s_3P*    
  57611.2     1  3p6.3d.5d_3P     
  57617.9     3  3p6.3d.5d_3P 
  57638.4     5  3p6.3d.5d_3P 
  57960       3  3p6.4p.5s_1P*    
  58431.31    3  3p6.3d.5f_3D*    
  58491.91    3  3p6.3d.5f_3P*    
  58505.89    3  3p6.3d.5f_1P*    
  58798.92    3  3p6.3d.7p_3D*    
  59010.87    3  3p6.3d.7p_3P*    
  59197       3  3p6.3d.7p_1P*    
  59368       3  3p6.3d.6d_3P     
  59391       5  3p6.3d.6d_3P  
  59802.21    3  3p6.3d.6f_3D*    
  59862.26    3  3p6.3d.6f_3P*    
  59878.52    3  3p6.3d.6f_1P*    
  60046.13    3  3p6.3d.8p_3D*    
  60150.26    3  3p6.3d.8p_3P*    
  60300       3  3p6.3d.8p_1P*    
  60632.18    3  3p6.3d.7f_3D*    
  60690.27    3  3p6.3d.7f_3P*    
  60709.54    3  3p6.3d.7f_1P*    
  60807.28    3  3p6.3d.9p_3D*    
  60869.28    3  3p6.3d.9p_3P*    
  60973.6     3  3p6.3d.9p_1P*    
  61172.54    3  3p6.3d.8f_3D*    
  61228.65    3  3p6.3d.8f_3P*    
  61251.39    3  3p6.3d.8f_1P*    
  61306.65    3  3p6.3d.10p_3D*    
  61345.74    3  3p6.3d.10p_3P*    
  61428.1     3  3p6.3d.10p_1P*    
  61543.95    3  3p6.3d.9f_3D*    
  61596.69    3  3p6.3d.9f_3P*    
  61622.60    3  3p6.3d.9f_1P*    
  61652.25    3  3p6.3d.11p_3D*    
  61676.62    3  3p6.3d.11p_3P*    
  61747.2     3  3p6.3d.11p_1P*    
  61810.68    3  3p6.3d.10f_3D*    
  61859.22    3  3p6.3d.10f_3P*    
  61888.22    3  3p6.3d.10f_1P*    
  61901.04    3  3p6.3d.12p_3D*    
  61916.38    3  3p6.3d.12p_3P*    
  61980.49    3  3p6.3d.12p_1P*    
  62009.17    3  3p6.3d.11f_3D*    
  62052.49    3  3p6.3d.11f_3P*    
  62084.92    3  3p6.3d.11f_1P*    
  62084.92    3  3p6.3d.13p_3D*    
  62097.08    3  3p6.3d.13p_3P*    
  62154.62    3  3p6.3d.13p_1P*    
  62161.61    3  3p6.3d.12f_3D*    
  62198.92    3  3p6.3d.12f_3P*    
  62223.68    3  3p6.3d.14p_3D*    
  62234.47    3  3p6.3d.12f_1P*    
  62237.12    3  3p6.3d.14p_3P*    
  62279.33    3  3p6.3d.13f_3D*    
  62288.02    3  3p6.3d.14p_1P*    
  62312.63    3  3p6.3d.13f_3P*    
  62331.04    3  3p6.3d.15p_3D*    
  62346.47    3  3p6.3d.13f_1P*    
  62351.93    3  3p6.3d.15p_3P*    
  62375.29    3  3p6.3d.14f_3D*    
  62392.01    3  3p6.3d.15p_1P*    
  62403.22    3  3p6.3d.14f_3P*    
  62416.47    3  3p6.3d.16p_3D*    
  62433.38    3  3p6.3d.14f_1P*    
  62443.64    3  3p6.3d.16p_3P*    
  62453.85    3  3p6.3d.15f_3D*    
  62472.14    3  3p6.3d.15f_3P*    
  62478.26    3  3p6.3d.16p_1P*    
  62486.45    3  3p6.3d.17p_3D*    
  62506.62    3  3p6.3d.15f_1P*    
  62511.97    3  3p6.3d.17p_3P*    
  62520.06    3  3p6.3d.16f_3D*    
  62533.90    3  3p6.3d.16f_3P*    
  62539.39    3  3p6.3d.18p_3D*    
  62548.16    3  3p6.3d.17p_1P*    
  62552.97    3  3p6.4p.4d_3D*   
  62557.45    3  3p6.4p.4d_3P*   
  62561.72    3  3p6.4p.4d_1P*   
  62565.68    3  3p6.3d.17f_3D*    
  62572.66    3  3p6.3d.16f_1P*    
  62578.91    3  3p6.3d.17f_3P*    
  62584.50    3  3p6.3d.18p_3P*    
  62587.83    3  3p6.3d.19p_3D*    
  62602.72    3  3p6.3d.18p_1P*    
  62610.75    3  3p6.3d.18f_3D*    
  62617.02    3  3p6.3d.18f_3P*    
  62625.37    3  3p6.3d.17f_1P*    
  62626.03    3  3p6.3d.20p_3D*    
  62628.76    3  3p6.3d.19p_3P*    
  62641.52    3  3p6.3d.19f_3D*    
  62648.37    3  3p6.3d.19p_1P*    
  62653.99    3  3p6.3d.19f_3P*    
  62660.15    3  3p6.3d.21p_3D*    
  62671.51    3  3p6.3d.20p_3P*    
  62671.51    3  3p6.3d.18f_1P*    
