# Extracted from fe1.en.ls.txt from NORAD
#E[cm⁻¹]  g cfg              term                 
59471.0  25 3d6.4s.(6D).6f   k5D* 
59525.9  25 3d6.4s.(6D).8p   j5D* 
60142.6  25 3d7.(4F).5f      i5D* 
60153.6  25 3d7.(4F).7p      h5D* 
60288.6  25 3d6.4s.(6D).7f   g5D* 
60319.3  25 3d6.4s.(6D).9p   f5D* 
60543.2  25 3d7.(4F).8p      e5D* 
60821.9  25 3d6.4s.(6D).8f   d5D* 
60858.1  25 3d6.4s.(6D).10p  c5D* 
61185.1  25 3d6.4s.(6D).9f   b5D* 
61200.5  25 3d6.4s.(6D).11p  a5D* 
61443.0  25 3d6.4s.(6D).12p  Z5D* 
61445.2  25 3d6.4s.(6D).10f  Y5D* 
24419.8  35 3d6.4s.(6D).4p   z5F* 
32059.8  35 3d7.(4F).4p      y5F* 
38515.6  35 3d6.4s.(4D).4p   x5F* 
45956.9  35 3d6.4s.(4F).4p   w5F* 
50203.7  35 3d6.4s.(6D).5p   v5F* 
51971.6  35 3d7.(4F).5p      u5F* 
53870.1  35 3d6.4s.(4G).4p   t5F* 
55591.8  35 3d6.4s.(6D).4f   s5F* 
55691.7  35 3d6.4s.(6D).6p   r5F* 
57442.0  35 3d6.4s.(4D).5p   q5F* 
57662.6  35 3d7.(4F).6p      p5F* 
57688.9  35 3d7.(4F).4f      o5F* 
58101.5  35 3d6.4s.(6D).5f   n5F* 
58310.0  35 3d6.4s.(6D).7p   m5F* 
59465.6  35 3d6.4s.(6D).6f   l5F* 
59500.7  35 3d6.4s.(6D).6h   k5F* 
59524.8  35 3d6.4s.(6D).8p   j5F* 
60144.8  35 3d7.(4F).5f      i5F* 
60149.2  35 3d7.(4F).7p      h5F* 
60285.3  35 3d6.4s.(6D).7f   g5F* 
60309.4  35 3d6.4s.(6D).7h   f5F* 
60329.2  35 3d6.4s.(6D).9p   e5F* 
60365.4  35 3d7.(4F).8p      d5F* 
60818.6  35 3d6.4s.(6D).8f   c5F* 
60834.0  35 3d6.4s.(6D).8h   b5F* 
60843.9  35 3d6.4s.(6D).10p  a5F* 
61182.9  35 3d6.4s.(6D).9f   Z5F* 
61193.9  35 3d6.4s.(6D).9h   Y5F* 
61197.2  35 3d6.4s.(6D).11p  X5F* 
61443.0  35 3d6.4s.(6D).10f  W5F* 
61446.3  35 3d6.4s.(6D).12p  V5F* 
61451.8  35 3d6.4s.(6D).10h  U5F* 
33294.3  45 3d7.(4F).4p      z5G* 
45126.2  45 3d6.4s.(4H).4p   y5G* 
47235.3  45 3d6.4s.(4F).4p   x5G* 
52258.0  45 3d7.(4F).5p      w5G* 
53586.9  45 3d6.4s.(4G).4p   v5G* 
55591.8  45 3d6.4s.(6D).4f   u5G* 
57664.8  45 3d7.(4F).4f      t5G* 
57704.3  45 3d7.(4F).6p      s5G* 
58104.8  45 3d6.4s.(6D).5f   r5G* 
59464.5  45 3d6.4s.(6D).6f   q5G* 
59500.7  45 3d6.4s.(6D).6h   p5G* 
60143.7  45 3d7.(4F).5f      o5G* 
60174.5  45 3d7.(4F).7p      n5G* 
60289.7  45 3d6.4s.(6D).7f   m5G* 
60309.4  45 3d6.4s.(6D).7h   l5G* 
60818.6  45 3d6.4s.(6D).8f   k5G* 
60834.0  45 3d6.4s.(6D).8h   j5G* 
61182.9  45 3d6.4s.(6D).9f   i5G* 
61193.9  45 3d6.4s.(6D).9h   h5G* 
61443.0  45 3d6.4s.(6D).10f  g5G* 
61451.8  45 3d6.4s.(6D).10h  f5G* 
45902.0  55 3d6.4s.(4H).4p   z5H* 
54273.9  55 3d6.4s.(4G).4p   y5H* 
55611.6  55 3d6.4s.(6D).4f   x5H* 
57668.1  55 3d7.(4F).4f      w5H* 
58111.4  55 3d6.4s.(6D).5f   v5H* 
59471.0  55 3d6.4s.(6D).6f   u5H* 
59500.7  55 3d6.4s.(6D).6h   t5H* 
60145.9  55 3d7.(4F).5f      s5H* 
60290.8  55 3d6.4s.(6D).7f   r5H* 
60309.4  55 3d6.4s.(6D).7h   q5H* 
60820.8  55 3d6.4s.(6D).8f   p5H* 
60834.0  55 3d6.4s.(6D).8h   o5H* 
60835.1  55 3d6.4s.(6D).8k   n5H* 
61185.1  55 3d6.4s.(6D).9f   m5H* 
61193.9  55 3d6.4s.(6D).9h   l5H* 
61193.9  55 3d6.4s.(6D).9k   k5H* 
61445.2  55 3d6.4s.(6D).10f  j5H* 
45744.0  65 3d6.4s.(4H).4p   z5I* 
57677.9  65 3d7.(4F).4f      y5I* 
59500.7  65 3d6.4s.(6D).6h   x5I* 
60151.4  65 3d7.(4F).5f      w5I* 
60309.4  65 3d6.4s.(6D).7h   v5I* 
60834.0  65 3d6.4s.(6D).8h   u5I* 
60835.1  65 3d6.4s.(6D).8k   t5I* 
61193.9  65 3d6.4s.(6D).9h   s5I* 
61193.9  65 3d6.4s.(6D).9k   r5I* 
59500.7  75 3d6.4s.(6D).6h   z5K* 
60309.4  75 3d6.4s.(6D).7h   y5K* 
60834.0  75 3d6.4s.(6D).8h   x5K* 
60835.1  75 3d6.4s.(6D).8k   w5K* 
61193.9  75 3d6.4s.(6D).9h   v5K* 
61193.9  75 3d6.4s.(6D).9k   u5K* 
49587.0   7 3d6.4s.(6D).4d   a7S  
55416.2   7 3d6.4s.(6D).5d   b7S  
58026.9   7 3d6.4s.(6D).6d   c7S  
59426.1   7 3d6.4s.(6D).7d   d7S  
60263.3   7 3d6.4s.(6D).8d   e7S  
60804.4   7 3d6.4s.(6D).9d   f7S  
61173.1   7 3d6.4s.(6D).10d  g7S  
61436.4   7 3d6.4s.(6D).11d  h7S  
49376.3  21 3d6.4s.(6D).4d   a7P  
55245.1  21 3d6.4s.(6D).5d   b7P  
56435.7  21 3d6.4s2(4H).0s   c7P  
57998.4  21 3d6.4s.(6D).6d   d7P  
59392.0  21 3d6.4s.(6D).7d   e7P  
60231.5  21 3d6.4s.(6D).8d   f7P  
60774.7  21 3d6.4s.(6D).9d   g7P  
61145.6  21 3d6.4s.(6D).10d  h7P  
61409.0  21 3d6.4s.(6D).11d  i7P  
42247.8  35 3d6.4s.(6D).5s   a7D  
49264.4  35 3d6.4s.(6D).4d   b7D  
52828.6  35 3d6.4s.(6D).6s   c7D  
55296.6  35 3d6.4s.(6D).5d   d7D  
56803.3  35 3d6.4s.(6D).7s   e7D  
57962.2  35 3d6.4s.(6D).6d   f7D  
58155.3  35 3d6.4s.(6D).5g   g7D  
58751.2  35 3d6.4s.(6D).8s   h7D  
59382.2  35 3d6.4s.(6D).7d   i7D  
59497.4  35 3d6.4s.(6D).6g   j7D  
59850.7  35 3d6.4s.(6D).9s   k7D  
60169.0  35 3d6.4s.(6D).8d   l7D  
60306.1  35 3d6.4s.(6D).7g   m7D  
60328.1  35 3d6.4s2(4F).0s   n7D  
60534.4  35 3d6.4s.(6D).10s  o7D  
60798.9  35 3d6.4s.(6D).9d   p7D  
60831.8  35 3d6.4s.(6D).8g   q7D  
60986.5  35 3d6.4s.(6D).11s  r7D  
61167.6  35 3d6.4s.(6D).10d  s7D  
61192.8  35 3d6.4s.(6D).9g   t7D  
61302.6  35 3d6.4s.(6D).12s  u7D  
61432.0  35 3d6.4s.(6D).11d  v7D  
61450.7  35 3d6.4s.(6D).10g  w7D  
49117.3  49 3d6.4s.(6D).4d   a7F  
55248.4  49 3d6.4s.(6D).5d   b7F  
57941.3  49 3d6.4s.(6D).6d   c7F  
58154.2  49 3d6.4s.(6D).5g   d7F  
58813.7  49 3d8.(4P).0s      e7F  
59383.3  49 3d6.4s.(6D).7d   f7F  
59495.2  49 3d6.4s.(6D).6g   g7F  
60235.9  49 3d6.4s.(6D).8d   h7F  
60306.1  49 3d6.4s.(6D).7g   i7F  
60785.7  49 3d6.4s.(6D).9d   j7F  
60831.8  49 3d6.4s.(6D).8g   k7F  
61159.9  49 3d6.4s.(6D).10d  l7F  
61191.7  49 3d6.4s.(6D).9g   m7F  
61426.6  49 3d6.4s.(6D).11d  n7F  
61449.6  49 3d6.4s.(6D).10g  o7F  
49412.5  63 3d6.4s.(6D).4d   a7G  
55354.8  63 3d6.4s.(6D).5d   b7G  
57997.3  63 3d6.4s.(6D).6d   c7G  
58153.1  63 3d6.4s.(6D).5g   d7G  
59409.6  63 3d6.4s.(6D).7d   e7G  
59495.2  63 3d6.4s.(6D).6g   f7G  
60253.5  63 3d6.4s.(6D).8d   g7G  
60305.0  63 3d6.4s.(6D).7g   h7G  
60309.4  63 3d6.4s.(6D).7i   i7G  
60796.7  63 3d6.4s.(6D).9d   j7G  
60830.7  63 3d6.4s.(6D).8g   k7G  
60835.1  63 3d6.4s.(6D).8i   l7G  
61168.7  63 3d6.4s.(6D).10d  m7G  
61191.7  63 3d6.4s.(6D).9g   n7G  
61193.9  63 3d6.4s.(6D).9i   o7G  
61433.1  63 3d6.4s.(6D).11d  p7G  
58153.1  77 3d6.4s.(6D).5g   a7H  
59494.1  77 3d6.4s.(6D).6g   b7H  
60305.0  77 3d6.4s.(6D).7g   c7H  
60309.4  77 3d6.4s.(6D).7i   d7H  
60830.7  77 3d6.4s.(6D).8g   e7H  
60834.0  77 3d6.4s.(6D).8i   f7H  
61191.7  77 3d6.4s.(6D).9g   g7H  
61193.9  77 3d6.4s.(6D).9i   h7H  
58154.2  91 3d6.4s.(6D).5g   a7I  
59496.3  91 3d6.4s.(6D).6g   b7I  
60306.1  91 3d6.4s.(6D).7g   c7I  
60309.4  91 3d6.4s.(6D).7i   d7I  
60831.8  91 3d6.4s.(6D).8g   e7I  
60834.0  91 3d6.4s.(6D).8i   f7I  
61192.8  91 3d6.4s.(6D).9g   g7I  
21376.8  21 3d6.4s.(6D).4p   z7P* 
39177.3  21 3d5.4s2(6S).4p   y7P* 
49337.9  21 3d6.4s.(6D).5p   x7P* 
