#E[cm⁻¹]     g  configuration         term  p  ref
108476.7     5  2s2.2p3.(4S*).9d       3D*  o  NIST
108476.7     3  2s2.2p3.(4S*).9d       3D*  o  NIST
108476.7     7  2s2.2p3.(4S*).9d       3D*  o  NIST
108705.5     3  2s2.2p3.(4S*).11s      3S*  o  NIST
108731.53    3  2s2.2p3.(4S*).10d      5D*  o  NIST
108731.53    5  2s2.2p3.(4S*).10d      5D*  o  NIST
108731.53    7  2s2.2p3.(4S*).10d      5D*  o  NIST
108731.53    1  2s2.2p3.(4S*).10d      5D*  o  NIST
108731.53    9  2s2.2p3.(4S*).10d      5D*  o  NIST
108736.1     7  2s2.2p3.(4S*).10d      3D*  o  NIST
108736.1     3  2s2.2p3.(4S*).10d      3D*  o  NIST
108736.1     5  2s2.2p3.(4S*).10d      3D*  o  NIST
108906.1     3  2s2.2p3.(4S*).12s      3S*  o  NIST
108927.2     7  2s2.2p3.(4S*).11d      3D*  o  NIST
108927.2     5  2s2.2p3.(4S*).11d      3D*  o  NIST
108927.2     3  2s2.2p3.(4S*).11d      3D*  o  NIST
109056.0     3  2s2.2p3.(4S*).13s      3S*  o  NIST
109073.3     7  2s2.2p3.(4S*).12d      3D*  o  NIST
109073.3     3  2s2.2p3.(4S*).12d      3D*  o  NIST
109073.3     5  2s2.2p3.(4S*).12d      3D*  o  NIST
109171.7     3  2s2.2p3.(4S*).14s      3S*  o  NIST
109186.3     5  2s2.2p3.(4S*).13d      3D*  o  NIST
109186.3     3  2s2.2p3.(4S*).13d      3D*  o  NIST
109186.3     7  2s2.2p3.(4S*).13d      3D*  o  NIST
109265.9     3  2s2.2p3.(4S*).15s      3S*  o  NIST
109278.2     7  2s2.2p3.(4S*).14d      3D*  o  NIST
109278.2     5  2s2.2p3.(4S*).14d      3D*  o  NIST
109283.0     3  2s2.2p3.(4S*).14d      3D*  o  NIST
109341.0     3  2s2.2p3.(4S*).16s      3S*  o  NIST
109348.9     5  2s2.2p3.(4S*).15d      3D*  o  NIST
109348.9     3  2s2.2p3.(4S*).15d      3D*  o  NIST
109348.9     7  2s2.2p3.(4S*).15d      3D*  o  NIST
109402.4     3  2s2.2p3.(4S*).17s      3S*  o  NIST
109409.5     7  2s2.2p3.(4S*).16d      3D*  o  NIST
109409.5     5  2s2.2p3.(4S*).16d      3D*  o  NIST
109409.5     3  2s2.2p3.(4S*).16d      3D*  o  NIST
109454.7     3  2s2.2p3.(4S*).18s      3S*  o  NIST
109457.6     3  2s2.2p3.(4S*).17d      3D*  o  NIST
109457.6     5  2s2.2p3.(4S*).17d      3D*  o  NIST
109457.6     7  2s2.2p3.(4S*).17d      3D*  o  NIST
