#E[cm⁻¹]         g  cfg   term p ref
  34928.4403     4  3p6.37d 2D  e NIST
  34928.8634     2  3p6.39s 2S  e NIST
  34932.6961     6  3p6.38d 2D  e NIST
  34932.6969     4  3p6.38d 2D  e NIST
  34933.0874     2  3p6.40s 2S  e NIST
  34936.6273     6  3p6.39d 2D  e NIST
  34936.6279     4  3p6.39d 2D  e NIST
  34936.9892     2  3p6.41s 2S  e NIST
  34940.2653     6  3p6.40d 2D  e NIST
  34940.2660     4  3p6.40d 2D  e NIST
  34940.6009     2  3p6.42s 2S  e NIST
  34943.6386     6  3p6.41d 2D  e NIST
  34943.6393     4  3p6.41d 2D  e NIST
  34943.9500     2  3p6.43s 2S  e NIST
  34946.7726     6  3p6.42d 2D  e NIST
  34946.7730     4  3p6.42d 2D  e NIST
  34947.0620     2  3p6.44s 2S  e NIST
  34949.6886     6  3p6.43d 2D  e NIST
  34949.6892     4  3p6.43d 2D  e NIST
  34949.9585     2  3p6.45s 2S  e NIST
  34952.4071     6  3p6.44d 2D  e NIST
  34952.4077     4  3p6.44d 2D  e NIST
  34952.6589     2  3p6.46s 2S  e NIST
  34954.9453     6  3p6.45d 2D  e NIST
  34954.9458     4  3p6.45d 2D  e NIST
  34957.3187     6  3p6.46d 2D  e NIST
  34957.3193     4  3p6.46d 2D  e NIST
  35009.8140     1  3p6     1S  e NIST
