#E[cm⁻¹]     g  configuration           term
 372436.2   20  2s2.2p5.(2P*<3/2>).7g   2[9/2]* 
 373680      3  2s2.2p5.(2P*<1/2>).7d   2[3/2]* 
 373680      3  2s2.2p5.(2P*<1/2>).8s   2[3/2]* 
 373787.8   16  2s2.2p5.(2P*<1/2>).7f   2[7/2]  
 373788.1   12  2s2.2p5.(2P*<1/2>).7f   2[5/2]  
 373796.4   16  2s2.2p5.(2P*<1/2>).7g   2[7/2]* 
 373796.4   20  2s2.2p5.(2P*<1/2>).7g   2[9/2]* 
 374450      3  2s2.2p5.(2P*<3/2>).8d   2[3/2]* 
 374450      3  2s2.2p5.(2P*<3/2>).9s   2[3/2]* 
 374514.9    8  2s2.2p5.(2P*<3/2>).8f   2[3/2]  
 374520.3   20  2s2.2p5.(2P*<3/2>).8f   2[9/2]  
 374532.1   16  2s2.2p5.(2P*<3/2>).8f   2[7/2]  
 375860      3  2s2.2p5.(2P*<3/2>).10s  2[3/2]* 
 375860      3  2s2.2p5.(2P*<1/2>).9s   2[3/2]* 
 375860      3  2s2.2p5.(2P*<1/2>).8d   2[3/2]* 
 375860      3  2s2.2p5.(2P*<3/2>).9d   2[3/2]* 
 375890.0   16  2s2.2p5.(2P*<1/2>).8f   2[7/2]  
 375890.0   12  2s2.2p5.(2P*<1/2>).8f   2[5/2]  
 376930      3  2s2.2p5.(2P*<3/2>).11s  2[3/2]* 
 376930      3  2s2.2p5.(2P*<3/2>).10d  2[3/2]* 
 377240      3  2s2.2p5.(2P*<1/2>).9d   2[3/2]* 
 377240      3  2s2.2p5.(2P*<1/2>).10s  2[3/2]* 
 377700      3  2s2.2p5.(2P*<3/2>).11d  2[3/2]* 
 377700      3  2s2.2p5.(2P*<3/2>).12s  2[3/2]* 
 378300      3  2s2.2p5.(2P*<3/2>).12d  2[3/2]* 
 378300      3  2s2.2p5.(2P*<1/2>).11s  2[3/2]* 
 378300      3  2s2.2p5.(2P*<3/2>).13s  2[3/2]* 
 378300      3  2s2.2p5.(2P*<1/2>).10d  2[3/2]* 
 379060      3  2s2.2p5.(2P*<1/2>).11d  2[3/2]* 
 379060      3  2s2.2p5.(2P*<1/2>).12s  2[3/2]* 
 379660      3  2s2.2p5.(2P*<1/2>).12d  2[3/2]* 
 379660      3  2s2.2p5.(2P*<1/2>).13s  2[3/2]* 
 380140      3  2s2.2p5.(2P*<1/2>).13d  2[3/2]* 
 380140      3  2s2.2p5.(2P*<1/2>).14s  2[3/2]* 
 381390.2    4  2s2.2p5                 2P*     
 382756.5    3  2s2.2p5                 2P*     
 530900      3  2s.2p6.3s               3S      
 534300      1  2s.2p6.3s               1S      
 562300      9  2s.2p6.3p               3P*     
 564200      3  2s.2p6.3p               1P*     
 596000      3  2s.2p6.4s               3S      
 597000      1  2s.2p6.4s               1S      
 605800      9  2s.2p6.4p               3P*     
 606500      3  2s.2p6.4p               1P*     
 622400      3  2s.2p6.5p               1P*     
 630200      3  2s.2p6.6p               1P*     
 634700      3  2s.2p6.7p               1P*     
 637400      3  2s.2p6.8p               1P*     
 645800      3  2s.2p6                  2S      
